name,links
"""Daniel, do you want me?""",https://twitter.com/nielwink_save/status/946316308420816897
"""I think I yearned for you.""",https://twitter.com/nielwink_save/status/946413630513221632
"""Jihoon is looking for me.""",https://twitter.com/nielwink_save/status/1014935987011481600
"""Looking at his eyes is like looking at the galaxy.""",https://twitter.com/nielwink_save/status/946996000161382401
Beautiful MV,https://twitter.com/nielwink_save/status/989123637071433728
BIU choreography,https://twitter.com/nielwink_save/status/953949129637441536
Cheek squishing,https://twitter.com/nielwink_save/status/946597055388049408|https://twitter.com/nielwink_save/status/946977580694904832
Couple shirts,https://twitter.com/nielwink_save/status/1024454267619270658
Daniel wants to run away,https://twitter.com/nielwink_save/status/982664714143514624
Daniel's seaweed fanboy,https://twitter.com/nielwink_save/status/969290306486022144
Daniel's video call,https://twitter.com/nielwink_save/status/1016710538762469376
Debut concert hand-holding,https://twitter.com/nielwink_save/status/946410237422006272
Fancafe selcas,https://twitter.com/nielwink_save/status/986181371872796673
"Fansign ""I love you""s",https://twitter.com/nielwink_save/status/1019841454066155520
Gamemates,https://twitter.com/LQ_nielwink/status/945686520547065858|https://twitter.com/nielwink_save/status/993517504742936576
Handcuffs,https://twitter.com/nielwink_save/status/983610764098289666
Jihoon's shoulder; Daniel's armrest,https://twitter.com/nielwink_save/status/1021790753528242177|https://twitter.com/nielwink_save/status/1016011163585294336|https://twitter.com/nielwink_save/status/975222000057704448|https://twitter.com/nielwink_save/status/1002566241024802817
Happy Together,https://twitter.com/nielwink_save/status/969159025462931456|https://twitter.com/nielwink_save/status/946601977915392000
Innisfree shoot,https://twitter.com/nielwink_save/status/946303035168268289
Jihoon taking initiative,https://twitter.com/nielwink_save/status/1026111081045929991
Jihoon's aegyo enthusiast,https://twitter.com/LQ_nielwink/status/944971033483755521|https://twitter.com/LQ_nielwink/status/945331795884589056|https://twitter.com/nielwink_save/status/979587202324688896
Jihoon's butler,https://twitter.com/nielwink_save/status/1010065822465732608
Jihoon's magnet thighs,https://twitter.com/LQ_nielwink/status/944962177231753216|https://twitter.com/nielwink_save/status/946601977915392000|https://twitter.com/LQ_nielwink/status/944994199501291520|https://twitter.com/nielwink_save/status/994857796297424896
Jihoon's smile needs to be seen,https://twitter.com/nielwink_save/status/946975977799802880
LASIK,https://twitter.com/0529percent/status/997880152129392640
Let's Eat Dinner Together,https://twitter.com/nielwink_save/status/1000020869396054017
Light MV BTS,https://twitter.com/nielwink_save/status/1003492313228689408
Lipstick race,https://twitter.com/nielwink_save/status/993464120375574528|https://twitter.com/nielwink_save/status/993476139283660800
Mutual one-pick,https://twitter.com/nielwink_save/status/946996000161382401
No space between faces,https://twitter.com/LQ_nielwink/status/945341898020995072|https://twitter.com/nielwink_save/status/954613882378530816
NyanWinkNyanNyan,https://twitter.com/nielwink_save/status/946265324923494400
Petting Jihoon,https://twitter.com/LQ_nielwink/status/945572499051261952|https://twitter.com/nielwink_save/status/1014532156566093824
Piggybacks,https://twitter.com/nielwink_save/status/1005018894128463873
Playing with fansign gifts,https://twitter.com/SugarRush_9699/status/980491203450777600|https://twitter.com/nielwink_save/status/980399275015155712|https://twitter.com/nielwink_save/status/987716525812412424
Pre-debut Paju,https://twitter.com/nielwink_save/status/995685637620617216
Produce 101 final episode hug,https://twitter.com/nielwink_save/status/946277067510841345
Pull-ups is a love game,https://twitter.com/nielwink_save/status/1008594759164747776
Ramen date,https://twitter.com/nielwink_save/status/995602896136818688
Refusing to let go,https://twitter.com/nielwink_save/status/1024651912384110593
Resting on Jihoon,https://twitter.com/nielwink_save/status/1008560490874789889
Shoe dominance,https://twitter.com/nielwink_save/status/946986160609312768
Slogan two-shot,https://twitter.com/9496_swdn/status/1011865668910804992
The Musician hug,https://twitter.com/nielwink_save/status/954658738845044736
Thigh-wrestling,https://twitter.com/niji1029/status/907281154121752576|https://twitter.com/LunarPlanet1210/status/941995352973905921
Third elimination confession,https://twitter.com/nielwink_save/status/946275765460463616
Trophies,https://twitter.com/nielwink_save/status/946595368724193281|https://twitter.com/nielwink_save/status/946985145415823360|https://twitter.com/LQ_nielwink/status/944660135045222401|https://twitter.com/nielwink_save/status/980186956670803968
Twilight air kisses,https://twitter.com/nielwink_save/status/1004311609441902592
Water bottle switching,https://twitter.com/nielwink_save/status/956853185817149440
2017 MAMA Hong Kong hug,https://twitter.com/pinktape0529/status/936696592593174528
